player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Marcus Rashford,26,2279.0,7,2,2,0,1.9,79.2,0.5,0,6.69,Man Utd,AM(CLR),26,English Premier League,60,185
Matthijs de Ligt,16,1391.0,2,0,5,0,0.6,94.0,1.9,0,6.68,Bayern,D(C),24,German Bundesliga,65,189
Vitaly Janelt,37,3072.0,1,3,8,0,0.6,79.9,0.9,1,6.68,Brentford,D(L),26,Other,22,184
Sean Longstaff,30,2748.0,6,2,7,0,1.2,80.9,0.5,0,6.67,Newcastle,DMC,26,English Premier League,25,187
Antonio Rüdiger,30,2708.0,1,0,7,0,0.6,90.0,1.5,0,6.66,Real Madrid,D(CLR),31,Spanish La Liga,25,190
Matty Cash,23,2144.0,2,2,8,0,1.1,84.0,0.5,1,6.66,Aston Villa,D(R),26,English Premier League,28,185
Nathan Collins,29,2650.0,1,1,3,0,0.3,81.5,2.3,0,6.66,Brentford,D(CR),23,Other,25,193
Terem Moffi,23,1961.0,11,2,4,0,1.6,73.1,0.7,2,6.65,Nice,AM(R),25,French Ligue 1,25,188
Andreas Christensen,27,1999.0,2,2,4,0,0.4,94.3,1.8,0,6.65,Barcelona,D(C),28,Spanish La Liga,40,187
Marcos Llorente,29,2573.0,6,4,5,0,0.8,83.3,0.5,2,6.65,Atletico,D(R),29,Spanish La Liga,30,184
Dani Vivian,31,2879.0,0,0,6,0,0.3,84.4,1.0,0,6.65,Athletic Club,D(C),24,Spanish La Liga,25,184
Lovro Majer,25,2121.0,5,5,5,0,1.2,78.1,0.4,3,6.65,Wolfsburg,AM(CR),26,German Bundesliga,25,178
Moussa Diaby,25,2188.0,6,8,1,0,1.4,82.6,0.1,2,6.65,Aston Villa,M(CLR),24,English Premier League,55,171
Evan Ndicka,25,2171.0,0,3,6,0,0.4,91.1,1.6,0,6.65,Roma,D(CL),24,Italian Serie A,24,192
Igor Zubeldia,29,2524.0,0,2,11,1,0.4,85.0,2.8,0,6.64,Real Sociedad,D(C),27,Spanish La Liga,22,181
Andrea Cambiaso,28,2389.0,2,3,10,0,0.9,87.6,0.4,2,6.64,Juventus,D(LR),24,Italian Serie A,25,182
Ezri Konsa,35,3074.0,1,0,5,0,0.5,92.2,0.9,0,6.64,Aston Villa,D(CR),26,English Premier League,35,183
Oihan Sancet,25,1993.0,4,5,3,2,1.4,82.8,0.8,1,6.64,Athletic Club,M(C),24,Spanish La Liga,35,188
Mateo Kovacic,16,1549.0,1,0,4,0,0.7,94.1,0.1,0,6.63,Man City,M(CL),30,English Premier League,30,177
Ederson,33,2789.0,0,0,5,0,0.0,85.9,0.3,0,6.63,Man City,GK,30,English Premier League,35,188
Youri Tielemans,17,1622.0,2,6,3,0,0.4,86.0,0.4,1,6.63,Aston Villa,M(C),27,English Premier League,25,177
Djordje Petrovic,22,1986.0,0,0,2,0,0.0,76.4,0.3,0,6.62,Chelsea,GK,24,English Premier League,20,194
Anthony Elanga,25,2434.0,5,9,1,0,1.5,75.3,0.5,1,6.62,Nottingham Forest,AM(LR),22,Other,22,178
Dayot Upamecano,19,1765.0,1,0,1,1,0.4,92.7,1.7,0,6.62,Bayern,D(C),25,German Bundesliga,50,186
Nathan Tella,8,811.0,5,2,2,0,0.9,83.2,0.2,1,6.62,Leverkusen,M(CLR),24,Other,23,173
